"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "CSS", "HTML", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\encryption-app\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lenovo\Desktop\encryption-app\server\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 4
"c:\Users\Lenovo\Desktop\encryption-app\server\controller\decryption\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Lenovo\Desktop\encryption-app\server\controller\encryption\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Lenovo\Desktop\encryption-app\server\package-lock.json", "JSON", 1639, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1640
"c:\Users\Lenovo\Desktop\encryption-app\server\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Lenovo\Desktop\encryption-app\server\routes\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Lenovo\Desktop\encryption-app\server\server.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\Lenovo\Desktop\encryption-app\view\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Lenovo\Desktop\encryption-app\view\package-lock.json", "JSON", 7030, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7031
"c:\Users\Lenovo\Desktop\encryption-app\view\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Lenovo\Desktop\encryption-app\view\postcss.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Lenovo\Desktop\encryption-app\view\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\encryption-app\view\src\App.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Lenovo\Desktop\encryption-app\view\src\api\constants.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Lenovo\Desktop\encryption-app\view\src\api\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\encryption-app\view\src\api\services\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\encryption-app\view\src\api\services\transform\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Lenovo\Desktop\encryption-app\view\src\assets\svg\lock.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Lenovo\Desktop\encryption-app\view\src\components\copybtn\index.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Lenovo\Desktop\encryption-app\view\src\components\encryption\index.jsx", "JavaScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 6, 123
"c:\Users\Lenovo\Desktop\encryption-app\view\src\components\footer\index.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Lenovo\Desktop\encryption-app\view\src\components\headbtns\index.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"c:\Users\Lenovo\Desktop\encryption-app\view\src\components\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Lenovo\Desktop\encryption-app\view\src\index.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Lenovo\Desktop\encryption-app\view\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Lenovo\Desktop\encryption-app\view\tailwind.config.cjs", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"c:\Users\Lenovo\Desktop\encryption-app\view\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 8720, 99, 3, 248, 6, 13, 7, 1, 8, 59, 9164